ShortName,NPS LongName,State,Latitude,Longitude,DateEstablished,Area(km^2),RecreationalVisitors(2017),ParkBudgetedFullTimeEmployee(FTE),TotalFTE(Park+Other),Final2017Budget(1000USD$)
Acadia,Acadia NP,Maine,44.35,-68.21,1919,198.6,3509271,73,149,8169
American Samoa,National Park of American Samoa,American Samoa,-14.25,-170.68,1988,33.4,69468,11,14,2021
Arches,Arches NP,Utah,38.68,-109.57,1971,310.3,1539028,11,25,1978
Badlands,Badlands NP,South Dakota,43.75,-102.5,1978,982.4,1054325,39,56,4435
Big Bend,Big Bend NP,Texas,29.25,-103.25,1944,"3,242.20",440276,67,90,7290
Biscayne,Biscayne NP,Florida,25.65,-80.08,1980,700,446961,34,38,4317
Black Canyon of the Gunnison,Black Canyon of the Gunnison NP,Colorado,38.57,-107.72,1999,124.6,307143,16,21,1911
Bryce Canyon,Bryce Canyon NP,Utah,37.57,-112.18,1928,145,2571684,26,52,3338
Canyonlands,Canyonlands NP,Utah,38.2,-109.93,1964,"1,366.20",742271,62,101,6354
Capitol Reef,Capitol Reef NP,Utah,38.2,-111.17,1971,979,1150165,24,33,2405
Carlsbad Caverns,Carlsbad Caverns NP,New Mexico,32.17,-104.44,1930,189.3,520026,42,54,5841
Channel Islands,Channel Islands NP,California,34.01,-119.42,1980,"1,009.90",383687,58,62,7577
Congaree,Congaree NP,South Carolina,33.78,-80.78,2003,107.4,159595,16,17,1903
Crater Lake,Crater Lake NP,Oregon,42.94,-122.1,1902,741.5,711749,46,74,5470
Cuyahoga Valley,Cuyahoga Valley NP,Ohio,41.24,-81.55,2000,131.8,2226879,95,121,10900
Death Valley,Death Valley NP,California,36.24,-116.82,1994,"13,650.30",1294827,70,99,8912
Denali,Denali NP&Pres,Alaska,63.33,-150.5,1917,"19,185.80",642809,115,184,14694
Dry Tortugas,Dry Tortugas NP,Florida,24.63,-82.87,1992,261.8,54281,14,17,2107
Everglades,Everglades NP,Florida,25.32,-80.93,1934,"6,106.40",1018557,123,168,16884
Gates of the Arctic,Gates of the Arctic NP&Pres,Alaska,67.78,-153.3,1980,"30,448.10",11177,36,46,3191
Gateway Arch,Jefferson National Expansion Memorial,Missouri,38.63,-90.19,2018,0.8,1398188,97,114,10069
Glacier,Glacier Bay NP&Pres,Montana,48.8,-114,1910,"4,100.00",3305512,37,80,5103
Glacier Bay,Glacier Bay NP&Pres,Alaska,58.5,-137,1980,"13,044.60",547057,37,80,5103
Grand Canyon,Grand Canyon NP,Arizona,36.06,-112.14,1919,"4,862.90",6254238,187,387,21654
Grand Teton,Grand Teton NP,Wyoming,43.73,-110.8,1929,"1,254.70",3317000,106,247,12599
Great Basin,Great Basin NP,Nevada,38.98,-114.3,1986,312.3,168028,24,41,2809
Great Sand Dunes,Great Sand Dunes NP&Pres,Colorado,37.73,-105.51,2004,434.4,486935,19,26,2352
Great Smoky Mountains,Great Smoky Mountains NP,Tennessee,35.68,-83.53,1934,"2,114.20",11338893,166,267,19472
Guadalupe Mountains,Guadalupe Mountains NP,Texas,31.92,-104.87,1966,349.5,225257,26,32,2945
Haleakala,Haleakala NP,Hawaii,20.72,-156.17,1916,134.6,1112390,46,78,5623
Hawaii Volcanoes,Hawaii Volcanoes NP,Hawaii,19.38,-155.2,1916,"1,308.90",2016702,69,124,7910
Hot Springs,Hot Springs NP,Arkansas,34.51,-93.05,1921,22.5,1561616,42,46,4662
Indiana Dunes,Indiana Dunes NL,Indiana,41.6533,87.0524,2019,61,1756079,87,118,9383
Isle Royale,Isle Royale NP,Michigan,48.1,-88.55,1940,"2,314.00",28196,34,44,4503
Joshua Tree,Joshua Tree NP,California,33.79,-115.9,1994,"3,199.60",2853619,46,107,6283
Katmai,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",Alaska,58.5,-155,1980,"14,870.30",37818,30,38,4344
Kenai Fjords,Kenai Fjords NP,Alaska,59.92,-149.65,1980,"2,710.00",303598,34,43,4085
Kings Canyon,Sequoia NP & Kings Canyon NP,California,36.8,-118.55,1940,"1,869.20",692932,163,310,17150
Kobuk Valley,"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP",Alaska,67.55,-159.28,1980,"7,084.90",15500,22,24,3883
Lake Clark,Lake Clark NP&Pres,Alaska,60.97,-153.42,1980,"10,602.00",22755,22,26,3508
Lassen Volcanic,Lassen Volcanic NP,California,40.49,-121.51,1916,431.4,507256,47,72,5397
Mammoth Cave,Mammoth Cave NP,Kentucky,37.18,-86.1,1941,218.6,587853,61,105,6623
Mesa Verde,Mesa Verde NP,Colorado,37.18,-108.49,1906,212.4,613788,54,104,6540
Mount Rainier,Mount Rainier NP,Washington,46.85,-121.75,1899,956.6,1415867,104,210,12788
North Cascades,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",Washington,48.7,-121.2,1968,"2,042.80",30326,60,111,7581
Olympic,Olympic NP,Washington,47.97,-123.5,1938,"3,733.80",3401996,109,196,13177
Petrified Forest,Petrified Forest NP,Arizona,35.07,-109.78,1962,895.9,627757,35,54,3606
Pinnacles,Pinnacles NP,California,36.48,-121.16,2013,108,233334,32,43,3603
Redwood,Redwood NP,California,41.3,-124,1968,562.5,445000,89,118,9096
Rocky Mountain,Rocky Mountain NP,Colorado,40.4,-105.58,1915,"1,075.60",4437215,109,242,12831
Saguaro,Saguaro NP,Arizona,32.25,-110.5,1994,371.2,964760,33,66,3726
Sequoia,Sequoia NP & Kings Canyon NP,California,36.43,-118.68,1890,"1,635.20",1291256,163,310,17150
Shenandoah,Shenandoah NP,Virginia,38.53,-78.35,1935,806.2,1458874,112,187,12326
Theodore Roosevelt,Theodore Roosevelt Inaugural NHS,North Dakota,46.97,-103.45,1978,285.1,708003,0,0,285
Virgin Islands,Virgin Islands Coral Reef NM,United States Virgin Islands,18.33,-64.73,1956,60.5,304408,0,0,455
Voyageurs,Voyageurs NP,Minnesota,48.5,-92.88,1971,883,237250,40,67,4222
Wind Cave,Wind Cave NP,South Dakota,43.57,-103.48,1903,137.5,619924,30,57,2597
Wrangell-St. Elias,Wrangell-Saint Elias NP&Pres,Alaska,61,-142,1980,"33,682.60",68292,42,59,5804
Yellowstone,Yellowstone NP,Wyoming,44.6,-110.5,1872,"8,983.20",4116524,316,528,35463
Yosemite,Yosemite NP,California,37.83,-119.5,1890,"3,082.70",4336890,250,634,31064
Zion,Zion NP,Utah,37.3,-113.05,1919,595.8,4504812,70,173,7762
